2018-05-10 09:57:34,841 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 52689 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 09:57:34,855 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 09:57:35,282 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@29df4d43: startup date [Thu May 10 09:57:35 CST 2018]; root of context hierarchy
2018-05-10 09:57:35,994 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 09:57:36,462 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 09:57:36,813 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 09:57:37,809 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-05-10 09:57:37,810 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 09:57:37,887 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-05-10 09:57:38,053 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:290 - Starting proxy at address: /127.0.0.1:9000
2018-05-10 09:57:38,172 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:336 - Proxy started at address: /127.0.0.1:9000
2018-05-10 09:57:38,175 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:57 - Started TeslaGateWayApplication in 4.562 seconds (JVM running for 5.251)
2018-05-10 10:00:03,892 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 52726 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 10:00:03,897 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 10:00:04,255 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@f80945f: startup date [Thu May 10 10:00:04 CST 2018]; root of context hierarchy
2018-05-10 10:00:05,066 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 10:00:05,481 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 10:00:05,951 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 10:00:06,671 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-05-10 10:00:06,673 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 10:00:06,676 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-05-10 10:00:06,877 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:290 - Starting proxy at address: /127.0.0.1:9000
2018-05-10 10:00:07,019 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:336 - Proxy started at address: /127.0.0.1:9000
2018-05-10 10:00:07,023 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:57 - Started TeslaGateWayApplication in 4.308 seconds (JVM running for 4.774)
2018-05-10 10:03:34,835 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 52773 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 10:03:34,839 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 10:03:35,182 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@f80945f: startup date [Thu May 10 10:03:35 CST 2018]; root of context hierarchy
2018-05-10 10:03:35,736 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 10:03:36,104 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 10:03:36,375 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 10:03:36,966 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
